service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20151206,20160409
2,0,0,0,0,0,1,0,20151206,20160409
3,0,0,0,0,0,0,1,20151206,20160409
4,1,1,1,1,1,0,0,20151206,20160409
8,0,0,0,0,0,0,0,20151206,20160409
9,0,0,0,0,0,0,0,20151206,20160409
10,0,0,0,0,0,0,0,20151206,20160409
11,0,0,0,0,0,0,0,20151206,20160409
12,0,0,0,0,0,0,0,20151206,20160409
13,0,0,0,0,0,0,0,20151206,20160409
15,0,0,0,0,0,0,0,20151206,20160409
16,0,0,0,0,0,0,0,20151206,20160409
17,0,0,0,0,0,0,0,20151206,20160409
18,0,0,0,0,0,0,0,20151206,20160409
19,0,0,0,0,0,0,0,20151206,20160409
20,0,0,0,0,0,0,0,20151206,20160409
21,0,0,0,0,0,0,0,20151206,20160409
22,0,0,0,0,0,0,0,20151206,20160409
23,0,0,0,0,0,0,0,20151206,20160409
24,0,0,0,0,0,0,0,20151206,20160409
25,0,0,0,0,0,0,0,20151206,20160409
26,0,0,0,0,0,0,0,20151206,20160409
24902,0,0,0,0,0,0,0,20151206,20160409
190002,0,0,0,0,0,0,0,20151206,20160409
247302,0,0,0,0,0,0,0,20151206,20160409
24903,0,0,0,0,0,0,0,20151206,20160409
190103,0,0,0,0,0,0,0,20151206,20160409
194803,0,0,0,0,0,0,0,20151206,20160409
104,0,0,0,0,0,0,0,20151206,20160409
504,0,0,0,0,0,0,0,20151206,20160409
1004,0,0,0,0,0,0,0,20151206,20160409
13304,0,0,0,0,0,0,0,20151206,20160409
24904,0,0,0,0,0,0,0,20151206,20160409
65504,0,0,0,0,0,0,0,20151206,20160409
74204,0,0,0,0,0,0,0,20151206,20160409
82404,0,0,0,0,0,0,0,20151206,20160409
84204,0,0,0,0,0,0,0,20151206,20160409
102904,0,0,0,0,0,0,0,20151206,20160409
105304,0,0,0,0,0,0,0,20151206,20160409
123704,0,0,0,0,0,0,0,20151206,20160409
128004,0,0,0,0,0,0,0,20151206,20160409
136504,0,0,0,0,0,0,0,20151206,20160409
150804,0,0,0,0,0,0,0,20151206,20160409
189904,0,0,0,0,0,0,0,20151206,20160409
193604,0,0,0,0,0,0,0,20151206,20160409
210704,0,0,0,0,0,0,0,20151206,20160409
252604,0,0,0,0,0,0,0,20151206,20160409
1011,0,0,0,0,0,0,0,20151206,20160409
24911,0,0,0,0,0,0,0,20151206,20160409
74211,0,0,0,0,0,0,0,20151206,20160409
82411,0,0,0,0,0,0,0,20151206,20160409
123711,0,0,0,0,0,0,0,20151206,20160409
24919,0,0,0,0,0,0,0,20151206,20160409
24920,0,0,0,0,0,0,0,20151206,20160409
24921,0,0,0,0,0,0,0,20151206,20160409
