route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
60966,4,2507949,University Medical Center,0,863938,132426
60966,4,2507950,University Medical Center,0,864714,132426
60966,4,2507951,University Medical Center,0,864058,132426
60966,4,2507952,University Medical Center,0,864029,132426
60966,4,2507953,University Medical Center,0,864056,132426
60966,4,2507954,University Medical Center,0,864040,132426
60966,4,2507955,University Medical Center,0,864030,132426
60966,4,2507956,University Medical Center,0,864711,132426
60966,4,2507957,University Medical Center,0,863851,132426
60966,4,2507958,University Medical Center,0,864712,132426
60966,4,2507959,University Medical Center,0,864039,132426
60966,4,2507960,University Medical Center,0,864037,132426
60966,4,2507961,University Medical Center,0,863851,132426
60966,4,2507962,University Medical Center,0,864712,132426
60966,4,2507963,University Medical Center,0,864044,132426
60966,4,2507964,University Medical Center,0,864039,132426
60966,4,2507965,University Medical Center,0,864032,132426
60966,4,2507966,University Medical Center,0,864028,132426
60966,4,2507967,University Medical Center,0,864826,132426
60966,11,2540167,University Medical Center,0,865828,132426
60966,11,2540168,University Medical Center,0,865829,132426
60966,11,2540169,University Medical Center,0,865830,132426
60966,11,2540170,University Medical Center,0,865831,132426
60966,11,2540171,University Medical Center,0,865832,132426
60966,11,2540172,University Medical Center,0,865833,132426
60966,11,2540173,University Medical Center,0,865597,132426
60966,11,2540174,University Medical Center,0,865834,132426
60966,11,2540175,University Medical Center,0,865831,132426
60966,11,2540176,University Medical Center,0,865833,132426
60966,11,2540177,University Medical Center,0,865597,132426
60966,11,2540178,University Medical Center,0,865835,132426
60966,11,2540179,University Medical Center,0,865836,132426
60966,11,2540180,University Medical Center,0,865837,132426
60966,11,2540181,University Medical Center,0,865838,132426
60966,11,2540182,University Medical Center,0,865839,132426
60966,11,2540183,University Medical Center,0,865840,132426
60966,11,2540184,University Medical Center,0,865841,132426
60966,11,2540185,University Medical Center,0,865842,132426
60966,4,2507968,Salt Lake Central Station,1,864712,132427
60966,4,2507969,Salt Lake Central Station,1,864714,132427
60966,4,2507970,Salt Lake Central Station,1,864058,132427
60966,4,2507971,Salt Lake Central Station,1,864029,132427
60966,4,2507972,Salt Lake Central Station,1,864056,132427
60966,4,2507973,Salt Lake Central Station,1,864040,132427
60966,4,2507974,Salt Lake Central Station,1,864030,132427
60966,4,2507975,Salt Lake Central Station,1,864061,132427
60966,4,2507976,Salt Lake Central Station,1,864711,132427
60966,4,2507977,Salt Lake Central Station,1,863851,132427
